,Area,Area_Name,BHK,Bathroom,Furnishing,Parking,Status,Transaction,Type,Per_Sqft,Price
1,750,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6667,5000000
2,950,rohini,2,2,Furnished,1,Ready_to_move,Resale,Apartment,6667,15500000
3,600,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6667,4200000
4,650,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6667,6200000
5,1300,rohini,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6667,15500000
6,1350,rohini,4,3,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6667,10000000
7,650,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6154,4000000
8,985,rohini,3,3,Unfurnished,1,Almost_ready,New_Property,Builder_Floor,6154,6800000
9,1300,rohini,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6154,15000000
10,1100,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6154,6200000
11,870,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6154,7700000
12,630,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6154,5500000
13,660,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6154,5000000
14,344.4448,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6154,3310000
15,660,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6154,4700000
16,550,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6154,4500000
17,1100,rohini,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6154,17000000
18,1150,rohini,3,3,Semi-Furnished,1,Ready_to_move,Resale,Apartment,6154,25000000
19,650,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6154,6000000
20,850,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,6154,11000000
21,900,rohini,3,2,Semi-Furnished,5,Ready_to_move,Resale,Builder_Floor,6154,4500000
22,430.556,rohini,1,1,Furnished,2,Ready_to_move,Resale,Apartment,6154,5300000
23,900,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,6154,10500000
24,914.9315,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6154,12000000
25,1100,rohini,3,3,Furnished,1,Ready_to_move,New_Property,Builder_Floor,6364,7000000
26,800,rohini,3,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,8750,7000000
27,500,rohini,1,1,Semi-Furnished,1,Ready_to_move,Resale,Apartment,8750,3400000
28,28,rohini,2,2,Furnished,1,Ready_to_move,New_Property,Apartment,8750,5000000
29,2160,rohini,4,4,Furnished,1,Ready_to_move,New_Property,Builder_Floor,9722,21000000
47,900,lajpat nagar,2,2,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,14444,13000000
48,1000,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,22000,22000000
49,900,lajpat nagar,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,22000,15800000
50,2925,lajpat nagar,4,4,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,22000,57500000
51,900,lajpat nagar,2,2,Unfurnished,2,Ready_to_move,Resale,Builder_Floor,22000,10000000
52,1600,lajpat nagar,3,3,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,22000,30000000
53,1143,lajpat nagar,3,3,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,22000,22000000
54,1150,lajpat nagar,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,22000,24000000
55,1500,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,22000,31500000
